filename,project_id,counterparty,exec_date,doc_type,parent_dir,year_bucket,src_path,size_bytes,normalized_filename
"Confidential - market sensitive pursuant to D.06-06-066_2010-12-14, Maverick Solar LLC, Interconnection Agreement.pdf",2010,Maverick Solar LLC,,AGREEMENT,Maverick Solar LLC,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Maverick Solar LLC/Confidential - market sensitive pursuant to D.06-06-066_2010-12-14, Maverick Solar LLC, Interconnection Agreement.pdf",2230903,2010_Maverick_Solar_LLC_AGREEMENT.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2021-07-26, Maverick Solar LLC, Amendment 1.pdf",2021,Maverick Solar LLC,,AMENDMENT,Maverick Solar LLC,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Maverick Solar LLC/Confidential - market sensitive pursuant to D.06-06-066_2021-07-26, Maverick Solar LLC, Amendment 1.pdf",3456888,2021_Maverick_Solar_LLC_AMENDMENT.pdf
4035 TVMWD-Fulton Rd_PPA Amend 1.pdf,4035,4035,,OTHER,4035,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4035/4035 TVMWD-Fulton Rd_PPA Amend 1.pdf,128494,4035_4035_OTHER.pdf
4035 TVMWD-Fulton Rd_PPA Amend 2.pdf,4035,4035,,OTHER,4035,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4035/4035 TVMWD-Fulton Rd_PPA Amend 2.pdf,115079,4035_4035_OTHER_v1.pdf
"2007-05-30, Terra-Gen Dixie Valley, LLC, PPA.pdf",2007,"Terra-Gen Dixie Valley, LLC",,PPA,"Terra-Gen Dixie Valley, LLC",2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Terra-Gen Dixie Valley, LLC/2007-05-30, Terra-Gen Dixie Valley, LLC, PPA.pdf",1068800,2007_Terra-Gen_Dixie_Valley_LLC_PPA.pdf
"2009-10-16, Terra-Gen Dixie Valley, LLC, Amendment 2.pdf",2009,"Terra-Gen Dixie Valley, LLC",,AMENDMENT,"Terra-Gen Dixie Valley, LLC",2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Terra-Gen Dixie Valley, LLC/2009-10-16, Terra-Gen Dixie Valley, LLC, Amendment 2.pdf",1110091,2009_Terra-Gen_Dixie_Valley_LLC_AMENDMENT.pdf
"2008-05-13, Terra-Gen Dixie Valley, LLC, Interconnection Agreement.pdf",2008,"Terra-Gen Dixie Valley, LLC",,AGREEMENT,"Terra-Gen Dixie Valley, LLC",2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Terra-Gen Dixie Valley, LLC/2008-05-13, Terra-Gen Dixie Valley, LLC, Interconnection Agreement.pdf",7618814,2008_Terra-Gen_Dixie_Valley_LLC_AGREEMENT.pdf
"2007-12-20, Terra-Gen Dixie Valley, LLC, Amendment 1.pdf",2007,"Terra-Gen Dixie Valley, LLC",,AMENDMENT,"Terra-Gen Dixie Valley, LLC",2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Terra-Gen Dixie Valley, LLC/2007-12-20, Terra-Gen Dixie Valley, LLC, Amendment 1.pdf",474686,2007_Terra-Gen_Dixie_Valley_LLC_AMENDMENT.pdf
"2010-09-04, Terra-Gen Dixie Valley, LLC, Amendment 3.pdf",2010,"Terra-Gen Dixie Valley, LLC",,AMENDMENT,"Terra-Gen Dixie Valley, LLC",2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Terra-Gen Dixie Valley, LLC/2010-09-04, Terra-Gen Dixie Valley, LLC, Amendment 3.pdf",50202,2010_Terra-Gen_Dixie_Valley_LLC_AMENDMENT.pdf
Confidential - market sensitive pursuant to D.06-06-066_4222_ Goleta WATER Van Horne PPA Excess Sales FINAL.pdf,4222,4222,,PPA,4222,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4222/Confidential - market sensitive pursuant to D.06-06-066_4222_ Goleta WATER Van Horne PPA Excess Sales FINAL.pdf,993876,4222_4222_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_4222 GFID5984 - 2013-09-17 5984_Interconnection Agreement_Fully E~1.pdf,4222,4222,2013-09-17,OTHER,4222,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4222/Confidential - market sensitive pursuant to D.06-06-066_4222 GFID5984 - 2013-09-17 5984_Interconnection Agreement_Fully E~1.pdf,2081397,4222_4222_2013-09-17_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Amendment No. 2.pdf,6323,6323,,AMENDMENT,6323,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6323/Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Amendment No. 2.pdf,225705,6323_6323_AMENDMENT.pdf
